22380000,4495000,4495000,4494800,4495000,8
22440000,4495500,4495900,4495500,4495600,101
22500000,4495500,4496400,4495500,4496400,202
22560000,4496500,4496500,4496500,4496500,320
22620000,4495100,4495100,4495100,4495100,6
22740000,4496300,4496500,4496100,4496500,255
22800000,4496100,4496300,4495800,4496100,1399
22860000,4496200,4496200,4495600,4495600,101
22920000,4495500,4495500,4493700,4493700,1209
22980000,4493700,4493700,4492800,4493100,973
23040000,4494300,4494300,4493600,4493600,376
23100000,4493300,4494400,4493200,4494400,3771
23160000,4494100,4494500,4494100,4494500,506
23220000,4494500,4494500,4493500,4493500,522
23280000,4493800,4493800,4493700,4493700,30
23340000,4494000,4494600,4493900,4494600,83
23400000,4494200,4494200,4494000,4494000,178
23460000,4493700,4494600,4493600,4494500,1064
23520000,4494600,4496400,4494600,4496400,4015
23580000,4495900,4496000,4495800,4495800,39
23700000,4494500,4494500,4494300,4494300,241
23760000,4494900,4494900,4494100,4494100,936
23820000,4493800,4493900,4493600,4493900,62
23880000,4493900,4494600,4493900,4494600,223
23940000,4494600,4494600,4493900,4493900,7
24000000,4493700,4494400,4493700,4494400,115
24060000,4494500,4495000,4494500,4495000,341
24120000,4494800,4494800,4494700,4494700,24
24180000,4494700,4494800,4494700,4494700,244
24240000,4494900,4494900,4494800,4494900,1236
24300000,4494900,4495000,4494500,4494500,1674
24360000,4494600,4494800,4494600,4494800,318
24420000,4495200,4495400,4495200,4495400,125
24480000,4494800,4494800,4494800,4494800,810
24540000,4495500,4495500,4494700,4494700,35
24600000,4495000,4495300,4494700,4494700,365
24660000,4495100,4495500,4495100,4495400,314
24720000,4494700,4494700,4494100,4494100,31
24780000,4494000,4494000,4492800,4492800,1076
24840000,4492300,4492500,4491800,4491800,980
24960000,4493100,4493300,4492400,4492400,500
25020000,4492200,4492200,4491600,4492000,485
25080000,4492000,4493000,4492000,4493000,2345
25200000,4494100,4495000,4492600,4494500,3449
25260000,4494900,4497100,4494900,4497100,6227
25320000,4497300,4499000,4497300,4498600,3651
25380000,4498000,4498000,4494900,4496100,2545
25440000,4496100,4496100,4495500,4495600,730
25500000,4494600,4494600,4493600,4493700,2450
25560000,4492800,4493200,4492100,4493200,6032
25620000,4493300,4493300,4492600,4492600,7225
25680000,4492900,4493200,4491300,4492500,2319
25740000,4493200,4493300,4492500,4493100,1288
25800000,4492400,4493300,4492400,4492900,617
25860000,4492900,4494500,4492900,4494500,3137
25920000,4494300,4494500,4493300,4493300,1573
25980000,4493900,4494100,4493800,4494100,668
26040000,4494100,4494100,4493900,4493900,77
26100000,4494300,4495100,4494300,4495100,1470
26160000,4495100,4495100,4494900,4495100,54
26220000,4495300,4496100,4495300,4496000,5918
26280000,4495700,4495700,4494900,4495100,240
26340000,4494700,4495400,4494700,4495400,226
26400000,4495400,4496000,4495400,4496000,426
26460000,4495400,4495400,4494500,4494500,109
26520000,4494200,4494200,4493000,4493000,406
26580000,4492700,4492700,4491700,4492100,4758
26640000,4491600,4492100,4491200,4491700,6042
26700000,4491600,4491600,4490200,4490200,6543
