18540000,4492800,4492800,4492000,4492800,400,4493100,4493200,4492400,4493200,400
18600000,4492800,4494300,4492800,4493700,1700,4493200,4494700,4493000,4494100,400
18660000,4493700,4494300,4492000,4492000,1700,4494100,4494900,4492500,4492500,2000
18720000,4492000,4493200,4490900,4491200,400,4492500,4493700,4491500,4491600,400
18780000,4491200,4491300,4490300,4490300,400,4491600,4491700,4490600,4490600,400
18840000,4490300,4490300,4489300,4489800,1400,4490600,4490800,4489700,4490200,400
18900000,4489800,4491000,4489500,4490400,400,4490200,4491300,4489900,4490800,1400
18960000,4490400,4490600,4489700,4490000,400,4490800,4491000,4490200,4490500,400
19020000,4490000,4491100,4489500,4490900,400,4490500,4491400,4490000,4491200,400
19080000,4490900,4491600,4490300,4491600,400,4491200,4492100,4490800,4491900,400
19140000,4491600,4492900,4490700,4492800,400,4491900,4493300,4491000,4493200,400
19200000,4492800,4492900,4490600,4490900,1400,4493200,4493400,4491000,4491200,400
19260000,4490900,4492300,4490700,4492200,400,4491200,4492800,4491000,4492600,1400
19320000,4492200,4492800,4491700,4491900,400,4492600,4493000,4492000,4492200,400
19380000,4491900,4492000,4490500,4491200,400,4492200,4492500,4490800,4491500,400
19440000,4491200,4491500,4490500,4491100,400,4491500,4491800,4490900,4491500,1400
19500000,4491100,4491800,4490700,4491500,400,4491500,4492300,4491000,4492000,400
19560000,4491500,4492700,4491500,4492100,400,4492000,4493200,4491900,4492500,500
19620000,4492100,4492200,4490200,4490600,400,4492500,4492600,4490300,4491100,400
19680000,4490600,4491200,4490200,4491200,500,4491100,4491700,4490700,4491500,400
19740000,4491200,4491800,4490700,4491200,400,4491500,4492200,4491200,4491600,400
19800000,4491200,4491800,4490200,4490500,400,4491600,4492300,4490600,4490900,400
19860000,4490500,4491100,4490400,4491100,400,4490900,4491500,4490700,4491400,400
19920000,4491100,4492500,4490700,4491600,400,4491400,4493000,4491200,4491900,400
19980000,4491600,4492100,4491000,4491300,400,4491900,4492500,4491500,4491600,400
20040000,4491300,4491300,4490500,4491100,400,4491600,4492000,4491000,4491600,400
20100000,4491100,4491500,4490000,4490600,400,4491600,4491900,4490400,4491000,1400
20160000,4490600,4490800,4490000,4490600,400,4491000,4491200,4490400,4490900,400
20220000,4490600,4490700,4489500,4490700,400,4490900,4491200,4490000,4491200,1400
20280000,4490700,4491700,4490700,4490900,500,4491200,4492200,4491100,4491400,400
20340000,4490900,4491500,4490500,4491300,400,4491400,4492000,4491000,4491900,400
20400000,4491300,4492000,4491000,4491100,1400,4491900,4492500,4491500,4491600,400
20460000,4491100,4491800,4491000,4491600,400,4491600,4492300,4491400,4492000,500
20520000,4491600,4492000,4490900,4491800,400,4492000,4492500,4491400,4492200,500
20580000,4491800,4493700,4491800,4493600,400,4492200,4493800,4492100,4493800,100
20640000,4493600,4494000,4492700,4493200,500,4493800,4494200,4493200,4493500,400
20700000,4493200,4493500,4491900,4492500,100,4493500,4493800,4492400,4492600,400
20760000,4492500,4493200,4491500,4493200,400,4492600,4493700,4492000,4493600,400
20820000,4493200,4493700,4491700,4493000,600,4493600,4494200,4492200,4493500,1400
