20210422 10:00,1329400,1341500,1326100,1339700,12640092
20210422 11:00,1339700,1341100,1336200,1338200,6982497
20210422 12:00,1338200,1341000,1335400,1340300,5621629
20210422 13:00,1340250,1340800,1316200,1317900,16597631
20210422 14:00,1317950,1326000,1314100,1322500,12822362
20210422 15:00,1322500,1325300,1318600,1319400,16752615
20210423 09:00,1322500,1333750,1321600,1331800,8670291
20210423 10:00,1331700,1337800,1330100,1337400,11183004
20210423 11:00,1337400,1345800,1336200,1343800,10532884
20210423 12:00,1343700,1346000,1341000,1345900,8286404
20210423 13:00,1346000,1351200,1344900,1346200,9683849
20210423 14:00,1346200,1350950,1346100,1348500,8149362
20210423 15:00,1348600,1349900,1342000,1343200,18358835
20210426 09:00,1347800,1349600,1335600,1340900,12459932
20210426 10:00,1340900,1348000,1340300,1344800,10105340
20210426 11:00,1344800,1348300,1344400,1345000,6385363
20210426 12:00,1345000,1346400,1342100,1344900,5692974
20210426 13:00,1344900,1346900,1343500,1344050,5070498
20210426 14:00,1344000,1350600,1344000,1350200,6836055
20210426 15:00,1350200,1350600,1344300,1347200,15301443
20210427 09:00,1351000,1354100,1342700,1344800,10091000
20210427 10:00,1344750,1349350,1341100,1343800,12994950
20210427 11:00,1343800,1346700,1342800,1344200,6414675
20210427 12:00,1344200,1350800,1344150,1346500,7276172
20210427 13:00,1346600,1347600,1344600,1345200,4407881
20210427 14:00,1345150,1348500,1343500,1345050,6781288
20210427 15:00,1345000,1348000,1342000,1343900,14618850
20210428 09:00,1343200,1349300,1339300,1346900,11022403
20210428 10:00,1346900,1350200,1337950,1341100,13601908
20210428 11:00,1341100,1342250,1330800,1332300,9997264
20210428 12:00,1332300,1338050,1330900,1336400,9390217
20210428 13:00,1336400,1340400,1335000,1339700,6817694
20210428 14:00,1339700,1347800,1336500,1343100,12636162
20210428 15:00,1343100,1344000,1333100,1335800,21350574
20210429 09:00,1365400,1370700,1338700,1342300,32411984
20210429 10:00,1342300,1345600,1336000,1341800,27477984
20210429 11:00,1341800,1346700,1327000,1331600,19950481
20210429 12:00,1331700,1332000,1324500,1329800,15902420
20210429 13:00,1329800,1338700,1328000,1338200,15844639
20210429 14:00,1338300,1345700,1337400,1342000,13045860
20210429 15:00,1342050,1344300,1332700,1334800,20408314
20210430 09:00,1317900,1328400,1313600,1327600,12806509
20210430 10:00,1327550,1335600,1322000,1334500,25820691
20210430 11:00,1334600,1334800,1329700,1330300,10483417
20210430 12:00,1330300,1331800,1322800,1324300,9264683
20210430 13:00,1324300,1326400,1316400,1317400,10355943
20210430 14:00,1317500,1320700,1314900,1318600,9616516
20210430 15:00,1318600,1321400,1310700,1314600,26084853
20210503 09:00,1320100,1333550,1318300,1332100,11225801
20210503 10:00,1332000,1340600,1326300,1327700,17038560
20210503 11:00,1327700,1329600,1321400,1328100,10160977
20210503 12:00,1328100,1329200,1323100,1324500,6445655
20210503 13:00,1324500,1326100,1322100,1324600,6328148
20210503 14:00,1324600,1329550,1324550,1328300,6510104
20210503 15:00,1328300,1329800,1323900,1325400,13528104
20210504 09:00,1311200,1314800,1283900,1285400,19589343
20210504 10:00,1285400,1288200,1278400,1282000,23605347
20210504 11:00,1282000,1282700,1267300,1269400,20104702
20210504 12:00,1269300,1274800,1268400,1268750,14151391
20210504 13:00,1268700,1273000,1267000,1269900,13147064
20210504 14:00,1269800,1275900,1268700,1274300,10404467
20210504 15:00,1274250,1280000,1268200,1278500,28520509
20210505 09:00,1292100,1304500,1291900,1297200,16755243
20210505 10:00,1297300,1299100,1288600,1297550,16181943
20210505 11:00,1297500,1302000,1294700,1301500,8390142
20210505 12:00,1301500,1301900,1294150,1294500,6355795
20210505 13:00,1294500,1295900,1291500,1293100,5846006
20210505 14:00,1293100,1294700,1286400,1288000,7573190
20210505 15:00,1288000,1288300,1279700,1281000,18348072
20210506 09:00,1279100,1285500,1271300,1275900,11120411
20210506 10:00,1275800,1285100,1273200,1281300,13196923
20210506 11:00,1281350,1290600,1276200,1287200,11293750
20210506 12:00,1287300,1292400,1285900,1288800,8051160
20210506 13:00,1288800,1290050,1285500,1287200,5103752
20210506 14:00,1287200,1290400,1283200,1286700,7669425
20210506 15:00,1286800,1297500,1286100,1297400,18617565
20210507 09:00,1308900,1309900,1294700,1301400,11911831
20210507 10:00,1301400,1309700,1299800,1305650,16403486
