20210421 13:00:00,1416600,1424800,1416600,1424600,1082935
20210421 14:00:00,1424650,1429300,1422700,1428800,978980
20210421 15:00:00,1428950,1437300,1428300,1435500,3240886
20210422 09:00:00,1437000,1447400,1428900,1445900,1175790
20210422 10:00:00,1446200,1446200,1421800,1424400,1437707
20210422 11:00:00,1424700,1426600,1419300,1422300,872982
20210422 12:00:00,1422200,1425700,1420850,1425600,655824
20210422 13:00:00,1425500,1425900,1412610,1413300,717352
20210422 14:00:00,1413200,1418500,1410200,1417200,607376
20210422 15:00:00,1417280,1417300,1411500,1412800,1412912
20210423 09:00:00,1412400,1418000,1409500,1418000,468985
20210423 10:00:00,1418400,1434800,1418100,1432500,897030
20210423 11:00:00,1432600,1435800,1429000,1432000,821561
20210423 12:00:00,1431550,1433900,1428900,1431200,302876
20210423 13:00:00,1431300,1431600,1425700,1425700,360186
20210423 14:00:00,1425600,1427700,1425100,1425800,312369
20210423 15:00:00,1425900,1429600,1423700,1424300,1344410
20210426 09:00:00,1424200,1436300,1423000,1434000,613098
20210426 10:00:00,1433800,1435700,1428400,1430100,716603
20210426 11:00:00,1430100,1430600,1426100,1428500,417636
20210426 12:00:00,1428200,1428300,1424400,1424800,467639
20210426 13:00:00,1425200,1425500,1420700,1422000,315543
20210426 14:00:00,1422100,1422100,1418100,1420000,340800
20210426 15:00:00,1419900,1420150,1414900,1415700,1475059
20210427 09:00:00,1416900,1419800,1407700,1418600,464145
20210427 10:00:00,1419000,1424700,1417900,1419800,753510
20210427 11:00:00,1419800,1423300,1416100,1422800,363538
20210427 12:00:00,1422900,1424500,1419200,1420300,317568
20210427 13:00:00,1420600,1422200,1419600,1420050,233442
20210427 14:00:00,1420200,1422200,1419200,1419400,271499
20210427 15:00:00,1419300,1421400,1418200,1420100,1252971
20210428 09:00:00,1429200,1429200,1422200,1423000,388397
20210428 10:00:00,1423500,1431600,1421000,1429950,506014
20210428 11:00:00,1429950,1433200,1429500,1430600,391545
20210428 12:00:00,1430700,1432900,1430000,1432300,246596
20210428 13:00:00,1432250,1433900,1429600,1430300,252756
20210428 14:00:00,1430600,1433100,1428600,1429300,382668
20210428 15:00:00,1429000,1432700,1427200,1430000,1452600
20210429 09:00:00,1441300,1446500,1438100,1439000,574316
20210429 10:00:00,1439200,1440500,1432200,1433500,637261
20210429 11:00:00,1433800,1435100,1429800,1434200,470604
20210429 12:00:00,1434680,1436200,1429900,1434750,440951
20210429 13:00:00,1434900,1439100,1434000,1437400,360126
20210429 14:00:00,1437650,1443600,1437300,1441600,433746
20210429 15:00:00,1441600,1444600,1440700,1442400,1338461
20210430 09:00:00,1437000,1438100,1416700,1416900,1230362
20210430 10:00:00,1417000,1417300,1405500,1410100,2271971
20210430 11:00:00,1410000,1414200,1407300,1413000,1321626
20210430 12:00:00,1413200,1413900,1411100,1412000,327164
20210430 13:00:00,1411500,1416000,1411200,1412800,586401
20210430 14:00:00,1412700,1420150,1412400,1418300,423884
20210430 15:00:00,1418500,1422000,1417000,1418800,2482460
20210503 09:00:00,1438100,1454200,1435600,1451200,1221207
20210503 10:00:00,1450300,1451500,1436550,1443500,865650
20210503 11:00:00,1443600,1447700,1439500,1446600,554130
20210503 12:00:00,1446500,1449200,1445100,1448350,335250
20210503 13:00:00,1448400,1452000,1446400,1451400,341626
20210503 14:00:00,1451900,1457500,1450500,1455500,723715
20210503 15:00:00,1455500,1455700,1446900,1447500,1552420
20210504 09:00:00,1444100,1457200,1443400,1451600,761351
20210504 10:00:00,1451800,1452500,1445300,1451100,925720
20210504 11:00:00,1450900,1458800,1449500,1457800,907661
20210504 12:00:00,1457700,1465900,1457500,1458100,752950
20210504 13:00:00,1457600,1459200,1454000,1454500,551379
20210504 14:00:00,1454700,1456900,1454100,1454300,493212
20210504 15:00:00,1454300,1457700,1453200,1457500,1460892
20210505 09:00:00,1459400,1459400,1443700,1451500,644060
20210505 10:00:00,1451850,1452100,1444900,1447500,553789
20210505 11:00:00,1447300,1453600,1446700,1452400,352566
20210505 12:00:00,1452500,1453700,1450600,1452600,357526
20210505 13:00:00,1452700,1455400,1452400,1453800,371989
20210505 14:00:00,1454100,1457700,1453600,1456600,504549
20210505 15:00:00,1456700,1457100,1451500,1452200,1773703
20210506 09:00:00,1452600,1461900,1451100,1461200,660186
20210506 10:00:00,1461000,1466310,1458900,1464500,1038777
20210506 11:00:00,1464500,1480800,1461800,1478550,1393602
20210506 12:00:00,1478600,1484500,1475400,1480500,835190
20210506 13:00:00,1480300,1485150,1479200,1484000,637621
20210506 14:00:00,1483950,1484400,1479500,1480800,711630
20210506 15:00:00,1480800,1485100,1480200,1484200,2048301
20210507 09:00:00,1455800,1458000,1445800,1453000,1291879
20210507 10:00:00,1453000,1461400,1451000,1453300,1255850
20210507 11:00:00,1453500,1454500,1450800,1452200,569786
20210507 12:00:00,1452200,1456100,1452000,1455600,483338
20210507 13:00:00,1455700,1456100,1452400,1453800,637274
20210507 14:00:00,1453800,1456950,1452700,1456250,545340
20210507 15:00:00,1456200,1458800,1452200,1454600,2050192
20210510 09:00:00,1458000,1470900,1458000,1469900,965944
20210510 10:00:00,1470000,1475700,1463000,1475700,1330295
20210510 11:00:00,1475950,1483800,1473600,1478800,1150333
20210510 12:00:00,1479000,1480800,1474100,1474500,504359
20210510 13:00:00,1474500,1478600,1472600,1476300,350417
20210510 14:00:00,1476500,1477300,1466900,1469200,574154
20210510 15:00:00,1469200,1470100,1461100,1461700,1972425
20210511 09:00:00,1451900,1451900,1438400,1446300,1393325
20210511 10:00:00,1446700,1451000,1430900,1435700,1197471
20210511 11:00:00,1435500,1438500,1431300,1435900,736354
20210511 12:00:00,1435800,1438200,1429000,1430700,836316
20210511 13:00:00,1430800,1440200,1430100,1439400,630706
20210511 14:00:00,1439600,1442100,1437400,1441300,495205
20210511 15:00:00,1441200,1444400,1436200,1442200,1332975
20210512 09:00:00,1438400,1441500,1430900,1432500,500450
20210512 10:00:00,1433000,1439500,1429700,1432300,594493
20210512 11:00:00,1432200,1434300,1424000,1424650,687851
20210512 12:00:00,1424600,1425750,1417300,1419300,751809
20210512 13:00:00,1419300,1422700,1416900,1417350,528375
20210512 14:00:00,1418100,1424400,1416900,1422300,605574
20210512 15:00:00,1422000,1422150,1411400,1413000,1960411
20210513 09:00:00,1414500,1436200,1412500,1430700,540053
20210513 10:00:00,1430800,1439850,1429500,1438500,606287
20210513 11:00:00,1438200,1438800,1430400,1434100,475986
20210513 12:00:00,1434500,1441800,1433000,1439500,485516
20210513 13:00:00,1439550,1443100,1437000,1442400,716790
20210513 14:00:00,1442100,1449000,1441900,1445800,494762
